,submission_id,user_id,location_name,submission_timestamp,questions_134999_where_are_you_eating_at_the_moment,questions_135005_who_are_you_with,questions_134999_where_are_you_eating_at_the_moment,questions_135000_which_of_the_following_best_describes_where_you_got_your_food_from_today,questions_135004_what_else_if_anything_are_you_doing_while_eating_your_food_for_example_are_you_also_watching_tv_checking_social_media_cooking_etc_coded,questions_135022_who_prepared_the_food,level2dish_coded,questions_135019_what_are_the_main_reasons_that_you_chose_this_food_right_now_if_you_are_having_more_than_one_item_please_write_about_the_main_item_you_are_having_please_be_as_detailed_as_you_can_coded,questions_135020_what_other_food_if_any_did_you_consider_having_instead_coded,questions_223649_149206_210007_finally_which_best_describes_the_food_you_are_having_today
49,145,3015874902.0,South Africa,2019-02-04 17:00:29.270248,At my home,"[""My children""]",At my home,I had it at home / brought it from home,"[""Browsing social media""]",I prepared it myself from scratch,"[""Egg-based dish"", ""Mushroom""]","[""Quick""]","[""Nothing""]",Dinner
50,146,3409011369.0,South Africa,2019-01-30 13:25:08.198689,At my home,"[""Alone""]",At my home,Supermarket / Hypermarket / Grocery Store ,"[""Watching TV""]",I prepared it myself from scratch,"[""Plain yoghurt (sweet)""]","[""It's what I wanted"", ""I had a craving""]","[""Nothing""]",Lunch
51,147,3652312068.0,South Africa,2019-02-19 16:11:59.997715,At my home,"[""Other family members""]",At my home,I had it at home / brought it from home,"[""Talking to someone""]",Someone else prepared it,"[""Chicken""]","[""Easy to prepare""]","[""Rice / pasta / grains / pulses"", ""Eggs""]",Lunch
52,151,747837225.0,South Africa,2019-05-01 10:29:48.375383,At school / work,"[""Colleagues""]",At school / work,,"[""Reading""]",Someone else prepared it,"[""Bread/ roll/ baguette"", ""Bread/ roll/ baguette"", ""Vegetable curry"", ""Vegetable curry"", ""Soft desserts""]","[""I was hungry""]","[""Nothing""]",Lunch
53,155,2654353800.0,South Africa,2019-01-12 00:02:07.552397,At someone else's home,"[""Friends""]",At someone else's home,Work / school cafeteria,"[""Reading""]",,"[""Crackers/ wafers""]","[""Convenient""]","[""Sweet pastry / baked goods"", ""Sweet pastry / baked goods""]",Treat
54,158,0.0,South Africa,2019-04-04 08:11:07.085662,At school / work,"[""Colleagues""]",At school / work,Supermarket / Hypermarket / Grocery Store ,"[""Working / studying""]",It was premade / ready to eat,"[""Potato crisps""]","[""I wanted a snack"", ""It's my favourite""]","[""Nothing""]",Breakfast
55,162,3292547715.0,South Africa,2019-04-26 17:35:44.487102,At someone else's home,"[""Alone""]",At someone else's home,Supermarket / Hypermarket / Grocery Store ,"[""Watching TV""]",It was premade / ready to eat,"[""Cake""]","[""I was hungry""]","[""Nothing""]",Snack
56,164,25079746536.0,South Africa,2019-02-09 08:52:01.778285,At my home,"[""Alone""]",At my home,I had it at home / brought it from home,"[""Working / studying""]",Someone else prepared it,"[""Savoury pastry"", ""Vegetable curry"", ""Savoury snacks"", ""Beans"", ""Salad vegetables""]","[""No specific reason"", ""It's my habit / routine""]","[""Breads"", ""Curry / stew / soup""]",Lunch
57,167,4821810150.0,South Africa,2019-05-12 16:05:14.978571,At my home,"[""Alone""]",At my home,Supermarket / Hypermarket / Grocery Store ,"[""Browsing social media""]",It was premade / ready to eat,"[""Instant noodles""]","[""It's a healthy choice""]","[""Curry / stew / soup""]",Breakfast
58,175,5979965684.0,South Africa,2019-05-25 19:40:50.510218,At my home,"[""Alone""]",At my home,,"[""Watching TV""]",I prepared it myself from scratch,"[""Plain rice"", ""Other potatoes/ sweet potatoes""]","[""Other""]","[""Milk / flavoured milk / milk alternatives"", ""Sweet pastry / baked goods""]",Dinner
59,177,3895742862.0,South Africa,2019-03-25 16:07:47.024856,At my home,"[""My spouse/partner""]",At my home,I had it at home / brought it from home,"[""Watching TV"", ""Browsing social media""]",Someone else prepared it,"[""Plain pasta"", ""Hard cheese""]","[""Kids/ family like it""]","[""Nothing""]",Lunch
60,178,3567951312.0,South Africa,2019-02-16 15:37:53.292200,At someone else's home,"[""Other family members""]",At someone else's home,Other,"[""Watching TV""]",,"[""Plain rice"", ""Green salad "", ""Chicken""]","[""It's a healthy choice""]","[""Nothing""]",Lunch
61,183,1626255336.0,South Africa,2019-01-31 18:42:39.368957,At my home,"[""Alone""]",At my home,I had it at home / brought it from home,"[""Browsing social media""]",I prepared it myself from scratch,"[""Toast""]","[""Quick""]","[""Meat"", ""Vegetables""]",Dinner
62,184,6406976915.0,South Africa,2019-06-11 09:04:11.285110,At my home,"[""My children""]",At my home,,"[""Watching TV""]",I prepared it myself from scratch,"[""Pork""]","[""Easy to prepare""]","[""Fruit""]",Dinner
63,186,2006613798.0,South Africa,2019-05-28 20:32:28.346091,At my home,"[""My spouse/partner""]",At my home,,"[""On my phone""]",Someone else prepared it,"[""Beef""]","[""Kids/ family like it""]","[""Other dishes""]",Other
64,188,868490155.0,South Africa,2019-06-08 08:13:17.734308,At my home,"[""Alone""]",At my home,Convenience Store / Small local supermarket,"[""Watching TV""]",It was premade / ready to eat,"[""Potato crisps""]","[""I wanted a snack""]","[""Potatoes""]",Snack
65,191,1254451320.0,South Africa,2019-01-25 08:38:29.486794,At my home,"[""Alone""]",At my home,Supermarket / Hypermarket / Grocery Store ,"[""Watching TV""]",I prepared it myself from scratch,"[""Cereal""]","[""I was hungry""]","[""Nothing""]",Breakfast
66,193,25539606320.0,South Africa,2019-02-14 17:27:45.584306,At my home,"[""Other family members""]",At my home,Cafe / restaurant,"[""Watching TV""]",,"[""Muffins/ cupcakes"", ""Savoury pastry"", ""Savoury snacks""]","[""Special occasion""]","[""Nothing""]",Treat
67,196,3121214238.0,South Africa,2019-03-28 03:53:01.727410,At my home,"[""Alone""]",At my home,Supermarket / Hypermarket / Grocery Store ,"[""Browsing social media""]",It was premade / ready to eat,"[""Other fruit""]","[""I was hungry""]","[""Fruit""]",Snack
68,197,20718740.0,South Africa,2019-04-03 19:43:01.795426,At my home,"[""Alone""]",At my home,Supermarket / Hypermarket / Grocery Store ,"[""Watching TV""]",It was premade / ready to eat,"[""Fruit flavoured yoghurt""]","[""I wanted something sweet""]","[""Ice cream""]",Dinner
69,198,7018925456.0,South Africa,2019-07-05 19:08:24.305455,At school / work,"[""Alone""]",At school / work,Convenience Store / Small local supermarket,"[""Browsing social media"", ""Listening to music""]",It was premade / ready to eat,"[""Instant noodles"", ""Bread/ roll/ baguette"", ""Potato crisps""]","[""It's a healthy choice""]","[""Sandwich / bagel / wrap""]",Breakfast
70,199,4356760622.0,South Africa,2019-05-22 08:49:50.559060,At my home,"[""Alone""]",At my home,,"[""On my phone""]",Someone else prepared it,"[""Plain rice"", ""Other potatoes/ sweet potatoes"", ""Fried potatoes/ sweet potatoes"", ""Vegetable curry""]","[""It's my habit / routine""]","[""Nothing""]",Lunch
